"","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","RH2M","T2M","PRECTOTCORR"
"186",60.59,56.84,2020,7,4,186,2020-07-04,75.88,17.87,0.38
"187",60.59,56.84,2020,7,5,187,2020-07-05,90.06,17.06,8.45
"188",60.59,56.84,2020,7,6,188,2020-07-06,79.62,20.66,2.59
"189",60.59,56.84,2020,7,7,189,2020-07-07,74.69,22.85,0.83
"190",60.59,56.84,2020,7,8,190,2020-07-08,67.88,24.06,0
"191",60.59,56.84,2020,7,9,191,2020-07-09,68.06,24.83,0
"192",60.59,56.84,2020,7,10,192,2020-07-10,66.69,26.06,0.01
"193",60.59,56.84,2020,7,11,193,2020-07-11,76.25,22.73,0.97
"194",60.59,56.84,2020,7,12,194,2020-07-12,70.12,19.94,0.01
"195",60.59,56.84,2020,7,13,195,2020-07-13,64.88,22.97,0
"196",60.59,56.84,2020,7,14,196,2020-07-14,59.88,25.51,0.01
"197",60.59,56.84,2020,7,15,197,2020-07-15,53.94,27.24,0
"198",60.59,56.84,2020,7,16,198,2020-07-16,50.81,27.75,0
"199",60.59,56.84,2020,7,17,199,2020-07-17,47.19,27.39,0.02
"200",60.59,56.84,2020,7,18,200,2020-07-18,61.25,24.75,0.5
"201",60.59,56.84,2020,7,19,201,2020-07-19,74.69,24.06,1.4
"202",60.59,56.84,2020,7,20,202,2020-07-20,89.12,19.55,8.38
"203",60.59,56.84,2020,7,21,203,2020-07-21,76,16.45,2.14
"204",60.59,56.84,2020,7,22,204,2020-07-22,64,18.01,0
"205",60.59,56.84,2020,7,23,205,2020-07-23,61.94,19.02,0.13
"206",60.59,56.84,2020,7,24,206,2020-07-24,59.62,17.4,0
"207",60.59,56.84,2020,7,25,207,2020-07-25,64.62,17.72,0.08
"208",60.59,56.84,2020,7,26,208,2020-07-26,66.56,16.94,0.32
"209",60.59,56.84,2020,7,27,209,2020-07-27,71.62,16.22,0.56
"210",60.59,56.84,2020,7,28,210,2020-07-28,74.62,17.17,2.04
"211",60.59,56.84,2020,7,29,211,2020-07-29,83.06,16.39,9.14
"212",60.59,56.84,2020,7,30,212,2020-07-30,90.19,17.54,19.97
"213",60.59,56.84,2020,7,31,213,2020-07-31,80.06,19.12,2.22
"214",60.59,56.84,2020,8,1,214,2020-08-01,73.5,19.19,1.08
"215",60.59,56.84,2020,8,2,215,2020-08-02,64.94,22.95,0.31
"216",60.59,56.84,2020,8,3,216,2020-08-03,76.88,20.53,3.99
"217",60.59,56.84,2020,8,4,217,2020-08-04,75.94,20.96,1.34
"218",60.59,56.84,2020,8,5,218,2020-08-05,75.56,20.05,0.48
"219",60.59,56.84,2020,8,6,219,2020-08-06,70.69,22.53,0.16
"220",60.59,56.84,2020,8,7,220,2020-08-07,63.81,23.7,0.86
"221",60.59,56.84,2020,8,8,221,2020-08-08,72.12,20.65,4.03
"222",60.59,56.84,2020,8,9,222,2020-08-09,95.81,14.22,15.64
"223",60.59,56.84,2020,8,10,223,2020-08-10,92.44,14.47,13.5
"224",60.59,56.84,2020,8,11,224,2020-08-11,92,11.14,6.89
"225",60.59,56.84,2020,8,12,225,2020-08-12,72.31,13.33,0.05
"226",60.59,56.84,2020,8,13,226,2020-08-13,72.56,12.37,0.13
"227",60.59,56.84,2020,8,14,227,2020-08-14,68.31,12.48,0.02
"228",60.59,56.84,2020,8,15,228,2020-08-15,81.94,11.06,3.87
"229",60.59,56.84,2020,8,16,229,2020-08-16,92.69,10.44,10.46
"230",60.59,56.84,2020,8,17,230,2020-08-17,96.31,10.48,10.01
"231",60.59,56.84,2020,8,18,231,2020-08-18,89.12,11.65,4.28
"232",60.59,56.84,2020,8,19,232,2020-08-19,92.81,8.2,8.29
"233",60.59,56.84,2020,8,20,233,2020-08-20,93.75,11.12,8.72
"234",60.59,56.84,2020,8,21,234,2020-08-21,88.94,13.25,10.74
"235",60.59,56.84,2020,8,22,235,2020-08-22,92.56,12.12,2.84
"236",60.59,56.84,2020,8,23,236,2020-08-23,93.19,11.33,2.34
"237",60.59,56.84,2020,8,24,237,2020-08-24,81.06,13.46,0.12
"238",60.59,56.84,2020,8,25,238,2020-08-25,86.5,15.59,1.53
"239",60.59,56.84,2020,8,26,239,2020-08-26,80.44,16.32,0.12
"240",60.59,56.84,2020,8,27,240,2020-08-27,82,16.67,0.08
"241",60.59,56.84,2020,8,28,241,2020-08-28,76.81,19.37,0.14
"242",60.59,56.84,2020,8,29,242,2020-08-29,75,19.59,0
"243",60.59,56.84,2020,8,30,243,2020-08-30,79.31,19.32,2.55
"244",60.59,56.84,2020,8,31,244,2020-08-31,85.56,15.8,1.2
"245",60.59,56.84,2020,9,1,245,2020-09-01,79.25,19.26,0.91
"246",60.59,56.84,2020,9,2,246,2020-09-02,84.31,14.17,3.49
"247",60.59,56.84,2020,9,3,247,2020-09-03,72.25,8.98,0.26
"248",60.59,56.84,2020,9,4,248,2020-09-04,76.5,8.47,0.3
"249",60.59,56.84,2020,9,5,249,2020-09-05,81.69,10.18,1.01
"250",60.59,56.84,2020,9,6,250,2020-09-06,79.75,11.73,0.16
"251",60.59,56.84,2020,9,7,251,2020-09-07,83.44,13.18,0.2
"252",60.59,56.84,2020,9,8,252,2020-09-08,86.5,13.77,0.5
"253",60.59,56.84,2020,9,9,253,2020-09-09,76.94,15.07,0.06
"254",60.59,56.84,2020,9,10,254,2020-09-10,72,13.75,0.07
"255",60.59,56.84,2020,9,11,255,2020-09-11,76.38,12.73,4.04
"256",60.59,56.84,2020,9,12,256,2020-09-12,84.81,11.24,2
"257",60.59,56.84,2020,9,13,257,2020-09-13,78.75,10.03,0.19
"258",60.59,56.84,2020,9,14,258,2020-09-14,76.06,10.27,0.78
"259",60.59,56.84,2020,9,15,259,2020-09-15,95.5,8.3,13.26
"260",60.59,56.84,2020,9,16,260,2020-09-16,95.31,8.93,21.7
"261",60.59,56.84,2020,9,17,261,2020-09-17,92.56,8.28,3.33
"262",60.59,56.84,2020,9,18,262,2020-09-18,83.31,7.26,0.18
"263",60.59,56.84,2020,9,19,263,2020-09-19,75.31,10.26,1.03
"264",60.59,56.84,2020,9,20,264,2020-09-20,91.88,7.45,8.04
"265",60.59,56.84,2020,9,21,265,2020-09-21,86.38,2.86,4.4
"266",60.59,56.84,2020,9,22,266,2020-09-22,83.62,3.9,3.68
"267",60.59,56.84,2020,9,23,267,2020-09-23,84.62,7.01,2.05
"268",60.59,56.84,2020,9,24,268,2020-09-24,83.31,6.05,0.26
"269",60.59,56.84,2020,9,25,269,2020-09-25,80.81,5.73,0
"270",60.59,56.84,2020,9,26,270,2020-09-26,85.31,7.88,0
"271",60.59,56.84,2020,9,27,271,2020-09-27,85.5,8.83,0.02
"272",60.59,56.84,2020,9,28,272,2020-09-28,89.38,8.52,0.09
"273",60.59,56.84,2020,9,29,273,2020-09-29,97.38,8.05,0.68
"274",60.59,56.84,2020,9,30,274,2020-09-30,84.12,10.12,0.05
"275",60.59,56.84,2020,10,1,275,2020-10-01,81.38,9.04,0.06
"276",60.59,56.84,2020,10,2,276,2020-10-02,86.94,8.65,0.04
"277",60.59,56.84,2020,10,3,277,2020-10-03,86.06,7.74,0.53
"278",60.59,56.84,2020,10,4,278,2020-10-04,78.5,1.63,0.05
"279",60.59,56.84,2020,10,5,279,2020-10-05,81.75,0.67,0.02
"280",60.59,56.84,2020,10,6,280,2020-10-06,92.44,2.37,5.03
"281",60.59,56.84,2020,10,7,281,2020-10-07,75.81,0.59,0.49
"282",60.59,56.84,2020,10,8,282,2020-10-08,75.06,0.56,0
"283",60.59,56.84,2020,10,9,283,2020-10-09,85.62,5.26,1.37
"284",60.59,56.84,2020,10,10,284,2020-10-10,84.31,6.43,0.11
"285",60.59,56.84,2020,10,11,285,2020-10-11,91.19,7.34,0.49
"286",60.59,56.84,2020,10,12,286,2020-10-12,81.81,6.62,0.06
"287",60.59,56.84,2020,10,13,287,2020-10-13,79.25,5.98,0
"288",60.59,56.84,2020,10,14,288,2020-10-14,76,8.65,0.08
"289",60.59,56.84,2020,10,15,289,2020-10-15,92.81,6.51,2.65
"290",60.59,56.84,2020,10,16,290,2020-10-16,82.25,8.68,3.17
"291",60.59,56.84,2020,10,17,291,2020-10-17,86.25,3.11,8.97
"292",60.59,56.84,2020,10,18,292,2020-10-18,79.75,0.3,0.32
"293",60.59,56.84,2020,10,19,293,2020-10-19,86.06,5.16,0.99
"294",60.59,56.84,2020,10,20,294,2020-10-20,97.31,2.98,3.08
"295",60.59,56.84,2020,10,21,295,2020-10-21,88.88,-0.01,0.5
"296",60.59,56.84,2020,10,22,296,2020-10-22,84.06,-2.45,1.27
"297",60.59,56.84,2020,10,23,297,2020-10-23,71,-4.65,0.08
"298",60.59,56.84,2020,10,24,298,2020-10-24,87.31,-2.91,3.98
"299",60.59,56.84,2020,10,25,299,2020-10-25,96.81,0.48,0.56
"300",60.59,56.84,2020,10,26,300,2020-10-26,91.88,-1.74,4.26
"301",60.59,56.84,2020,10,27,301,2020-10-27,88.06,-5.14,0.54
"302",60.59,56.84,2020,10,28,302,2020-10-28,91.25,-2.74,0.07
"303",60.59,56.84,2020,10,29,303,2020-10-29,90.81,-0.5,0.01
"304",60.59,56.84,2020,10,30,304,2020-10-30,94.88,-1.89,0.02
"305",60.59,56.84,2020,10,31,305,2020-10-31,93.62,0.07,1.33
"306",60.59,56.84,2020,11,1,306,2020-11-01,93.75,-1.95,2.84
"307",60.59,56.84,2020,11,2,307,2020-11-02,94.38,-5.86,0.08
"308",60.59,56.84,2020,11,3,308,2020-11-03,93.5,-6.26,0.02
"309",60.59,56.84,2020,11,4,309,2020-11-04,95.88,-1.67,0.03
"310",60.59,56.84,2020,11,5,310,2020-11-05,97.06,-0.2,0.25
"311",60.59,56.84,2020,11,6,311,2020-11-06,98.81,0.6,1.95
"312",60.59,56.84,2020,11,7,312,2020-11-07,97.38,0.04,0.56
"313",60.59,56.84,2020,11,8,313,2020-11-08,92.06,-1.39,1.27
"314",60.59,56.84,2020,11,9,314,2020-11-09,90.44,-0.81,1.3
"315",60.59,56.84,2020,11,10,315,2020-11-10,94.88,-3.06,3.69
"316",60.59,56.84,2020,11,11,316,2020-11-11,91.81,-6.8,0.43
"317",60.59,56.84,2020,11,12,317,2020-11-12,94,-6.45,0.96
"318",60.59,56.84,2020,11,13,318,2020-11-13,90.81,-6.63,2
"319",60.59,56.84,2020,11,14,319,2020-11-14,88.25,-10.32,0.67
"320",60.59,56.84,2020,11,15,320,2020-11-15,88.94,-14.02,0.11
"321",60.59,56.84,2020,11,16,321,2020-11-16,93.88,-13.7,0.23
"322",60.59,56.84,2020,11,17,322,2020-11-17,96.5,-9.68,0.51
"323",60.59,56.84,2020,11,18,323,2020-11-18,95.19,-11.94,0
"324",60.59,56.84,2020,11,19,324,2020-11-19,91.69,-13.96,0
"325",60.59,56.84,2020,11,20,325,2020-11-20,88.5,-7.37,0.19
"326",60.59,56.84,2020,11,21,326,2020-11-21,89,-7.17,0
"327",60.59,56.84,2020,11,22,327,2020-11-22,93.62,-12,0
"328",60.59,56.84,2020,11,23,328,2020-11-23,92.38,-10.12,0
"329",60.59,56.84,2020,11,24,329,2020-11-24,95.25,-9.87,0.05
"330",60.59,56.84,2020,11,25,330,2020-11-25,97.62,-9.95,0.07
"331",60.59,56.84,2020,11,26,331,2020-11-26,93.38,-10.42,0.74
"332",60.59,56.84,2020,11,27,332,2020-11-27,95.5,-11.17,1.31
"333",60.59,56.84,2020,11,28,333,2020-11-28,93.25,-13,0.39
"334",60.59,56.84,2020,11,29,334,2020-11-29,95.88,-13.31,0.16
"335",60.59,56.84,2020,11,30,335,2020-11-30,98.31,-13.65,0.13
"336",60.59,56.84,2020,12,1,336,2020-12-01,97.5,-13.35,0.16
"337",60.59,56.84,2020,12,2,337,2020-12-02,96.12,-14.34,0.04
"338",60.59,56.84,2020,12,3,338,2020-12-03,96.88,-14.6,0.18
"339",60.59,56.84,2020,12,4,339,2020-12-04,96.69,-11.59,0.27
"340",60.59,56.84,2020,12,5,340,2020-12-05,95.81,-14.35,0.23
"341",60.59,56.84,2020,12,6,341,2020-12-06,93.38,-12.7,0.01
"342",60.59,56.84,2020,12,7,342,2020-12-07,96.06,-11.18,0.06
"343",60.59,56.84,2020,12,8,343,2020-12-08,96.19,-10.99,0.14
"344",60.59,56.84,2020,12,9,344,2020-12-09,96.38,-13.2,0.19
"345",60.59,56.84,2020,12,10,345,2020-12-10,96.44,-15.31,0.21
"346",60.59,56.84,2020,12,11,346,2020-12-11,95.56,-15.66,0.01
"347",60.59,56.84,2020,12,12,347,2020-12-12,95.88,-15.16,0
"348",60.59,56.84,2020,12,13,348,2020-12-13,95.06,-14.2,0.04
"349",60.59,56.84,2020,12,14,349,2020-12-14,97.88,-13.96,0.16
"350",60.59,56.84,2020,12,15,350,2020-12-15,93.38,-12.66,0.01
"351",60.59,56.84,2020,12,16,351,2020-12-16,94.38,-9.68,0.2
"352",60.59,56.84,2020,12,17,352,2020-12-17,96.81,-10.04,1.01
"353",60.59,56.84,2020,12,18,353,2020-12-18,97.5,-10.49,2.6
"354",60.59,56.84,2020,12,19,354,2020-12-19,98.31,-20.87,0.04
"355",60.59,56.84,2020,12,20,355,2020-12-20,96.62,-22.04,0.02
"356",60.59,56.84,2020,12,21,356,2020-12-21,95.38,-16.45,2.83
"357",60.59,56.84,2020,12,22,357,2020-12-22,97.75,-13.36,0.4
"358",60.59,56.84,2020,12,23,358,2020-12-23,98.5,-8.21,0.55
"359",60.59,56.84,2020,12,24,359,2020-12-24,98.44,-11.45,1.05
"360",60.59,56.84,2020,12,25,360,2020-12-25,95.69,-19.74,1.47
"361",60.59,56.84,2020,12,26,361,2020-12-26,98.19,-15.3,0.41
"362",60.59,56.84,2020,12,27,362,2020-12-27,98.56,-10.33,6.27
"363",60.59,56.84,2020,12,28,363,2020-12-28,98.94,-11.77,0.88
"364",60.59,56.84,2020,12,29,364,2020-12-29,99.06,-19.99,0.24
"365",60.59,56.84,2020,12,30,365,2020-12-30,99.25,-23.48,0.25
"366",60.59,56.84,2020,12,31,366,2020-12-31,98.94,-19.99,1.2
"367",60.59,56.84,2021,1,1,1,2021-01-01,98.94,-22.65,1.42
