Region,2005,2010,2011,2012,2013,2014,2015,2016
Российская Федерация,812.3,811.5,860,841.7,872.3,863,802.9,839.9
Центральный федеральный округ,52.6,62.7,60.9,60.3,70.9,71.2,72.6,77
Белгородская область,0.4,0.1,0.3,0.3,0.4,0.4,0.2,0.2
Брянская область,2.9,2.8,3,3.2,3.5,3.3,3.1,3
Владимирская область,4.4,5.3,5.7,6,7.1,5.9,6,4.9
Воронежская область,1.1,1.1,1.8,3,2.7,2.7,2.6,2.3
Ивановская область,2.1,1.6,2.2,3.1,4,4.8,4.6,4.2
Калужская область,2.2,2.3,2.3,2.5,2.4,3.1,3.2,3.2
Костромская область,10,25.2,11,11.8,15.3,13.6,15.1,16.4
Курская область,0.5,0.3,0.4,0.6,0.6,0.6,0.5,0.4
Липецкая область,0.4,0.4,1.4,1.5,1.4,1.5,1.1,1.4
Московская область,6.7,2.7,3.4,1.1,6.2,7,8.9,11.2
Орловская область,0.2,0,0.1,0.1,0,0.1,0.1,0.2
Рязанская область,2.1,2.4,9.4,7.2,7.4,7.5,5.5,5.1
Смоленская область,2.8,3,3.3,3.4,4.1,4.4,4.4,4.5
Тамбовская область,0.6,0.8,1.2,1.3,0.9,1,1,1.2
Тверская область,13,11,11.4,11.8,11.1,11.6,12.3,14.2
Тульская область,0.3,0.1,0.1,0.1,0.1,0.1,0.2,0.2
Ярославская область,2.9,3.6,4,3.4,3.6,3.7,3.9,4.3
Северо-Западный федеральный округ,156.8,163.2,186.5,185.2,190.5,195.4,194.1,201.4
Республика Карелия,27.7,23.9,19.9,19,17.9,16.8,16.5,17.2
Республика Коми,25.7,33.3,37.1,40.4,40.2,37.5,36.7,35.2
Архангельская область,42.6,39.4,48.5,48.8,52.7,60.7,57.6,63.5
Вологодская область,25.6,32.3,44.2,43.3,43.6,44.8,49,52
Калинингpадская область,0.8,0.5,-,-,0.9,1.2,0.6,0.6
Ленинградская область,17.4,17.4,-,17.1,19,18.3,17.3,17.1
Мурманская область,2.5,3,1.9,-,1.6,1.6,1.6,1
Новгородская область,11,9.9,10.9,10.8,11.3,11.2,11.2,11
Псковская область,3.5,3.5,3.2,2.9,3.3,3.3,3.7,3.9
Южный федеральный округ,5.4,5.7,6.1,5,4.7,4.7,3.2,3.2
Республика Адыгея,0.5,0,0.2,0.2,-,0,-,0
Республика Калмыкия,0.5,1.2,0.9,0.9,1,0.9,0.7,-
Республика Крым,,,,,,-,-,0
Краснодарский край,1.6,1.1,0.8,1,1,1.1,0.7,0.6
Астраханская область,0.1,0.1,0,0.1,0.1,0.1,0.1,0
Волгоградская область,1.6,1.8,2,1.3,1.1,1.2,0.9,0.9
Ростовская область,1,1.5,2.1,1.5,1.5,1.5,0.9,1.1
г. Севастополь,,,,,,-,-,-
Северо-Кавказский федеральный округ,4.3,2.5,2.5,2,1.8,1.6,1.4,1.3
Республика Дагестан,1,-,-,0.5,-,-,-,-
Республика Ингушетия ,0.4,0.4,-,-,-,-,-,-
Кабардино-Балкарская Республика,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Карачаево-Черкесская Республика,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Республика Северная Осетия – Алания,0.1,-,-,-,0.1,0.1,0.1,0.1
Чеченская Республика,1.3,0.9,0.4,0.2,0.2,0.5,0.7,0.6
Ставропольский край,0.6,0.4,0.6,0.4,0.3,0.3,0.1,0.1
Приволжский федеральный округ,86.8,89.2,102.8,100.6,105.7,100.9,109.8,112.1
Республика Башкортостан,12,10.6,10.5,10.5,10.6,12,11.4,12.9
Республика Марий Эл,3.6,2.9,3,2.9,2.9,3.1,3,2.7
Республика Мордовия,1.1,1.1,1.4,1.6,1.4,1.2,1.3,1.1
Республика Татарстан,2.8,1.9,2.3,2.3,2.4,2.6,2.1,1.9
Удмуртская Республика,4.5,6.3,6.9,6.2,5.5,5.1,5.3,6.2
Чувашская Республика,1.2,0.7,1.3,1.1,0.8,0.8,0.7,0.8
Пермский край,26.4,22.9,28,26.8,30.8,27.6,32.5,29.4
Кировская область,18.9,26,28.1,28.6,27.5,28.2,31.1,35
Нижегородская область,8.5,8.4,11.5,11.1,12.2,11.4,14.4,14.9
Оренбургская область,0.9,1.1,-,1,1,1,1,1
Пензенская область,1.9,2.5,2.6,2.7,2.6,1.8,1.5,1.4
Самарская область,1.8,1.2,-,1.2,1.7,1.1,1.2,0.8
Саратовская область,1.6,1.6,2,1.5,2.1,2,2,1.5
Ульяновская область,1.5,2,3,3.1,4.2,2.9,2.3,2.6
Уральский федеральный округ,58.3,63.8,63,62.6,60.4,56.1,52.9,53.2
Курганская область,6,4.6,4.2,4.3,4.2,4,3.8,3.8
Свердловская область,17.7,25.6,27.4,26,26.7,23.5,24.4,22.6
Тюменская область,31.7,29.8,27.9,28.5,26.5,25.5,21.9,23.6
Челябинская область,2.9,3.8,3.5,3.8,2.9,3.1,2.8,3.2
Сибирский федеральный округ,222.6,225.1,238.1,253.6,257.8,265.8,258.6,279
Республика Алтай,3,3.1,3.1,2.8,1.1,1,0.9,1
Республика Бурятия,22.6,32,31.1,32.6,30.2,30.2,16.1,26.1
Республика Тыва,3.5,4.4,4.4,4,1.4,5,5.5,4.7
Республика Хакасия,3.2,3.4,3.4,3.7,3.8,3.7,3.8,3.8
Алтайский край,12,10.9,13.5,13.8,13.2,14.3,13.7,12
Забайкальский край,23.4,15.5,14.2,14.1,15.7,13.3,9.7,11.2
Красноярский край,54.9,49,56.3,57,54.9,51.8,50.4,53.1
Иркутская область,68.3,80.4,81.8,90.9,99.5,107.6,116.8,122.9
Кемеровская область,9.7,3.2,4.7,4.4,4,4,5.9,5.6
Новосибирская область,6.9,9,9.8,6.1,6,6,6.1,5.4
Омская область,4.8,4.8,5.2,5.9,4.5,4.3,4.2,5
Томская область,10.3,9.3,10.5,18.4,23.5,24.7,25.6,28.2
Дальневосточный федеральный округ,225.5,199.3,200.1,172.6,180.6,167.3,110.4,112.7
Республика Саха (Якутия),43.7,58,60.3,43.7,60.3,56.6,1.9,4.6
Камчатский  край,3.6,5.2,-,-,-,-,-,-
Приморский край,18.8,17.5,19.4,15.4,14,11.7,12.8,11.5
Хабаровский край,107.2,70.2,68.7,67.2,58.4,50.5,59.6,60.3
Амурская область,33.3,29.8,32.2,33.6,35.5,37.7,28.5,27.7
Магаданская область,2.7,2.6,2.6,2.8,3,2.5,0.4,-
Сахалинская область,13.1,12.7,12.5,4.6,4.7,4.9,4.7,4.1
Еврейская автономная область,2.9,-,2.6,2.5,2.3,-,-,2.4
Чукотский автономный округ,0.3,-,-,-,-,-,-,-